"","country","gdp","lifeExp","X","Y","Z"
"119","Libya",-0.455719311193842,-0.209717082779823,-0.866706447109482,0.264978752699397,0.422618261740699
"120","Liechtenstein",1,0.337272195509436,-0.670478676060219,0.112600678052125,0.733334461382211
"121","Lithuania",-0.366029756009155,-0.245845907221528,-0.510848136911678,0.227444244389502,0.829037572555042
"122","Luxembourg",1,-0.151034432318056,-0.642385265021137,0.0694072644136361,0.763232469782529
"123","Macao- China",1,-0.152686356794862,0.370186058169068,0.848948658596251,0.37715839829556
"124","Macedonia- FYR",-0.688390876260294,-0.211144255627132,-0.690833660772327,0.279114916641728,0.666966053447989
"125","Madagascar",-0.964441921931045,-0.328857921576386,-0.640868826338821,0.687247676595994,-0.342020143325669
"126","Malawi",-0.980463853577129,-0.434626038417855,-0.806131198432029,0.543742359034796,-0.233445363855905
"127","Malaysia",-0.408803686881276,-0.213178257874083,0.382319202533184,0.923000203911279,0.0436193873653362
"128","Maldives",-0.708291604388802,-0.180566796434012,-0.291915828288558,0.954813651334596,0.0558215049931637
"129","Mali",-0.95875824028663,-0.437761323649344,-0.953975245641218,-0.0667084476007172,0.292371704722737
"130","Malta",-0.243082782126001,-0.159990784753527,-0.784310140920799,0.201863058769716,0.586607968197612
"131","Marshall Islands",-0.9083264813259,0.460885591732997,0.959567194103507,0.221533542366109,0.17364817766693
"132","Martinique",-0.620583478268621,-0.141336399505244,-0.469012204454179,-0.846120414640464,0.253195173732995
"133","Mauritania",-0.920985894759501,-0.364514767596146,-0.919158082448998,-0.195373081636569,0.342020143325669
"134","Mauritius",-0.569440849535418,-0.228955822264799,-0.502776355467775,0.791739597374024,-0.346935651573256
"135","Mayotte",-0.750529889244382,-0.166283830379454,-0.687435037304361,0.69144605916077,-0.222115773319665
"136","Mexico",-0.580822524000104,-0.185264105490508,0.19138372048725,-0.900389613868328,0.390731128489274
"137","Moldova",-0.88285148521447,-0.281929781337333,-0.596489205947411,0.330639365950525,0.731353701619171
"138","Monaco",0.116587722924046,0.55078624353195,-0.716546961221209,0.0930632016409022,0.691302895166074
"139","Mongolia",-0.765359047722092,-0.29761744507625,0.179790816114671,0.670988460474225,0.719339800338651
"140","Montenegro",-0.63234442758819,-0.215380823843157,-0.695843052062144,0.243680771237021,0.67559020761566
"141","Montserrat",-0.699119968813362,0.584498987956558,-0.446598489851455,-0.847049408178758,0.288196268134089
"142","Morocco",-0.817279046988264,-0.25898263996565,-0.84482101711783,-0.0739122617062506,0.529919264233205
"143","Mozambique",-0.973735919114073,-0.491499438262168,-0.777947980687737,0.544725040412575,-0.31316380648375
"144","Namibia",-0.752280531940614,-0.331554941130355,-0.886670329774358,0.27108232415109,-0.374606593415912
"145","Nauru",-0.791154882644484,0.640686895330904,0.973999659166129,0.226358167120938,-0.00930828243630468
"146","Nepal",-0.943659393002904,-0.287424958678544,-0.0922931550274173,0.878110713560915,0.469471562785891
"147","Netherlands",0.0896919860505918,-0.145516779813895,-0.605698456989114,0.0609906275565811,0.793353340291235
"148","New Caledonia",-0.0804152159962531,-0.198693015352976,0.900781573008135,0.232957954443663,-0.366501226724297
"149","New Zealand",-0.153616490002356,-0.144460447155258,0.739073800366903,0.0776797865924605,-0.669130606358858
"150","Nicaragua",-0.885828891930131,-0.215178547376609,-0.0849219467074411,-0.970662292518362,0.224951054343865
"151","Niger",-0.976764621432529,-0.399812011008711,-0.951906763192086,0.133781771057868,0.275637355816999
"152","Nigeria",-0.854202055084764,-0.466147454454863,-0.975223671657125,0.137058748836224,0.17364817766693
"153","Niue",-0.853961415623724,0.741825128604727,0.93058281310609,-0.166320667333782,-0.326118174239342
"154","Norfolk Island",-0.995667850597254,0.753062710079596,0.855072175815675,0.182531250939474,-0.48531836620544
"155","Northern Mariana Islands",-0.739078379132303,0.775537873029335,0.796922062990846,0.537530718746963,0.275637355816999
"156","Norway",0.622735578198405,-0.140291304428081,-0.462339234850303,0.0815228813442158,0.882947592858927
"157","Oman",0.24802738115824,-0.195928570310158,-0.508464342596353,0.782966426513139,0.3583679495453
"158","Pakistan",-0.885200848350064,-0.308102108592303,-0.296198132726024,0.813797681349374,0.5
"159","Palau",-0.614542980495559,0.820488198928812,0.690852959222318,0.715399181646631,0.104528463267653
"160","Panama",-0.541767087858815,-0.18464603850939,-0.17151028044722,-0.972683135377854,0.156434465040231
"161","Papua New Guinea",-0.937091335777676,-0.354726834131535,0.834076242822669,0.541655445394692,-0.104528463267653
"162","Paraguay",-0.792263703068998,-0.244171507581772,-0.487866544531876,-0.7806401947895,-0.390624014885848
"163","Peru",-0.68978488111888,-0.215324635935783,-0.238246558409963,-0.955554753951213,-0.17364817766693
"164","Philippines",-0.835916640201291,-0.284132347306407,0.516337467821852,0.826312678392932,0.224951054343865
"165","Poland",-0.416056078203574,-0.19754678204254,-0.578532545265687,0.210568626030974,0.788010753606722
"166","Portugal",-0.35809397014678,-0.157799456365927,-0.764115185984876,-0.107389386047088,0.636078220277764
"167","Puerto Rico",-0.13068264080844,-0.169947281940261,-0.378696982720705,-0.870939031229933,0.313135432614229
"168","Qatar",1,-0.175509884770321,-0.564949315122501,0.703912257932433,0.430511096808295
"169","Reunion",-0.801055181384765,-0.161159493226913,-0.52708796290506,0.769792554850961,-0.359996808120051
"170","Romania",-0.535335695496563,-0.226506029503278,-0.629574290477179,0.293575313027008,0.719339800338651
"171","Russia",-0.388815540845761,-0.292268356294212,0.0868240888334652,0.492403876506104,0.866025403784439
"172","Rwanda",-0.962994341423259,-0.336241012605375,-0.865497844507677,0.499695413509548,-0.0348994967025007
"173","Saint Kitts and Nevis",-0.503149333002956,1,-0.437080777293122,-0.848644769659439,0.297930275484916
"174","Saint Lucia",-0.743921795744856,-0.21557186272823,-0.47114043144083,-0.848794896130194,0.239945656691429
"175","Saint Martin",-0.995019325237561,1,-0.430724063649664,-0.847475358777758,0.310261659341966
"176","Saint Vincent and the Grenadines",-0.73039831820415,-0.241598101424027,-0.469248243618478,-0.85355938644051,0.226367974060542
"177","Samoa",-0.872281118262221,-0.234091396998814,0.962086454922936,-0.132160530788447,-0.238585932853411
"178","San Marino",-0.137917951136602,1,-0.703303172515949,0.154845721365837,0.693820906361069
"179","Sao Tome and Principe",-0.931479642330875,-0.310720465075947,-0.992394982054922,0.12185078211386,0.0174524064372834
"180","Saudi Arabia",0.326939233148514,-0.207986495232693,-0.640856382055788,0.640856382055789,0.422618261740699
"181","Senegal",-0.943016725645589,-0.34315212521242,-0.941473796429463,-0.234735781392945,0.241921895599668
"182","Serbia",-0.691502722890715,-0.223943860927007,-0.67156155759657,0.257788329273688,0.694658370458997
"183","Seychelles",-0.386114728449969,-0.233743031973093,-0.562202953727873,0.823129635176108,-0.0799089639183439
"184","Sierra Leone",-0.953179039776993,-0.54419245779783,-0.969161077770241,-0.197178049784306,0.147809411129611
"185","Singapore",0.909504729072201,-0.131087725200163,0.238465603045344,0.970858025735723,0.0238505771157415
"186","Slovak Republic",-0.332458755577496,-0.208907976913632,-0.622556845183416,0.220458941335566,0.750880036823775
"187","Slovenia",-0.299034565973338,-0.161777560208031,-0.667426871258855,0.180918981422481,0.722363962059756
"188","Solomon Islands",-0.948293342029558,-0.295684581062573,0.924494885962316,0.354880337295101,-0.139173100960065
"189","Somalia",-0.983968453108399,-0.437559047182796,-0.665465038884934,0.739073800366903,0.104528463267653
"190","South Africa",-0.687619807820021,-0.41658972015069,-0.778378476865286,0.379640549405458,-0.5
"191","South Sudan",-0.945175020669527,-0.435154204747174,-0.857597304086755,0.495134034370785,0.139173100960066
"192","Spain",-0.198105148379855,-0.133582468287584,-0.764178397356799,-0.0534365590832617,0.642787609686539
"193","Sri Lanka",-0.763157307515181,-0.221314266861888,-0.15526842625975,0.980326261478707,0.121869343405147
"194","Sudan",-0.917261072604227,-0.358839788951337,-0.832477048367497,0.480630847969159,0.275637355816999
"195","Suriname",-0.586228688497984,-0.25810610861061,-0.55783073766283,-0.82701807869558,0.0697564737441255
"196","Svalbard",-0.994344858863481,1,-0.19537308163657,0.0711099862925722,0.978147600733806
"197","Swaziland",-0.838368865328643,-0.505546415105755,-0.763056981162475,0.467601919452042,-0.446197813109809
"198","Sweden",0.0926159513211458,-0.136751466263497,-0.453474707203182,0.121508181583033,0.882947592858927
"199","Switzerland",0.348420949302543,-0.12791872722425,-0.675361198904008,0.0949158266195774,0.731353701619171
"200","Syria",-0.885054962151298,-0.258319622658632,-0.645500619738655,0.50432035610299,0.573576436351046
"201","Taiwan",0.0431750224810827,-0.159990784753527,0.47051069384707,0.783061293996184,0.4067366430758
