"","Country","AidRecieved","BirthByProS","PrimaryCompletion","ElecGenpCap","EnerUsepPsn","PrimaryExpd","SecndryExpd","TertiryExpd","DebtExternl","GPDpCapUSDl","MalnutLwWgt","AidRecdpPsn","BMImaleIndc","DroughtKill","EpdmcAffctd","EpdmcKilled","InfanttMort","GNItotalPPP","GovtCivlAid","HIVPlwha","HourCompens","HourCompns2","HoursprWeek","HealthExpnd","PovertyPPP","Ruralpovrty","TobaccoUse","AdultLitrcy","SEENRPRSCFM","SIPOVGINI","HealthExpGDP","TsunamiKill","UrbanPopulat","MaternalMort","MurderedMale","MurderFemale","OilConsumptn","SuicideFmale","SuicideMale","MaternalMort2"
"205","Singapore",0.959121859240082,0.996818663838812,NA,0.16456163820249,0.358662622835584,0.172329373400863,0.0535515882284183,0.0148222628919922,NA,0.318171894470578,NA,0.949919602674907,0.716806539400773,NA,1,1,0.994814174589456,0.979670224589707,NA,0.999403565038197,0.802271036179333,0.802271036179333,NA,0.270393412618683,NA,NA,NA,0.944558763492094,NA,0.432919405892379,0.13330942654321,NA,1,0.995091683645119,0.0150946678942981,0.993094616059306,1,0.757469935714869,0.825117799709456,0.999089253187614
"206","Slovak Republic",NA,0.994697773064687,0.650703115263069,0.0969190306446215,0.172731972636387,0.240200132933279,0.0447623510847465,0.00944757404179589,NA,0.0817233415511659,0.981981981981982,NA,0.496753964169581,NA,NA,NA,0.960242005185825,0.992077593776947,NA,0.999948213730861,NA,NA,0.608981380065718,0.244943869675841,0.999263932702419,NA,0.44,NA,0.798455401850123,0.0316532748965182,0.431499710493827,NA,0.492336536734327,0.991479903685868,0.0475618792696154,0.982257579945365,0.0528937430582637,0.881852176513203,0.702975245278179,0.996357012750455
"207","Slovenia",0.949032518743546,0.998939554612937,0.629143672265384,NA,0.195824745409935,0.459804852890143,0.0797874295155344,0.0109435703758395,NA,0.119755582542915,NA,0.937579795351184,0.460212182684673,NA,NA,NA,0.993085566119274,0.996384824277611,NA,0.999903570395397,NA,NA,NA,0.303814525571651,0.999474237644585,NA,0.532631578947368,0.995939478789914,0.773045913604345,0.157048940832725,0.469737759259259,NA,0.437863750673612,0.993517318021856,0.0448699029713562,0.979832707200358,NA,0.617549197290191,0.522220711108879,0.990892531876138
"208","Solomon Islands",0.910747796417401,0.682926829268293,0.393451483810613,NA,0.00666972797058005,NA,NA,NA,0.869685638797499,0.0105204760153096,NA,0.593233858747609,0.480166678308868,1,NA,NA,0.790838375108038,0.999930961207229,NA,NA,NA,NA,NA,0.0253204157157937,NA,NA,NA,NA,0.721514045659,NA,0.416838548148148,0.998559240635064,0.107016795401473,0.900351917021671,0.0295071005746771,0.985826347255139,NA,0.853607442660664,0.922717916200698,0.91712204007286
"209","Somalia",0.887251395477605,0.289501590668081,NA,NA,NA,NA,NA,NA,0,NA,0.265765765765766,0.922320610404386,0.850154176010127,1,0.995848277895151,0.99167200512492,0.22990492653414,NA,NA,0.993760647435508,NA,NA,NA,0.000144438029272834,NA,NA,NA,NA,0,NA,0.0278603703703704,0.99160969546302,0.301243937488773,0.558714576773477,0.0572261117216091,0.980434602111503,NA,0,0.478310372329655,0.0910746812386156
"210","Somaliland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","South Africa",0.8074824536462,0.906680805938494,0.658945223665282,0.112595150896808,0.151816502897503,0.272860743310329,0.0618665188238584,NA,0.962599042307502,0.035370985992769,0.777027027027027,0.940895692272087,0.501871068084069,1,0.995320100230924,0.992953235105701,0.726879861711322,0.964192445614588,NA,0,NA,NA,NA,0.110109096472294,0.671083070452156,NA,0.703157894736842,0.90607747078433,0.778222863447339,0.935962990017044,0.440837278395062,NA,0.573230644871565,0.916836451194666,1,0,0.038731051738399,0.737660052715463,0.596184080563523,0.728597449908925
"212","South Ossetia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","Spain",NA,NA,0.699599106479237,0.138704232960378,0.150992649072314,0.318201359247728,0.083502716496085,0.0140675657563381,NA,0.145838324031311,NA,NA,0.455941157938105,1,1,1,0.981849611063094,0.90391435097083,0.53370778554392,0.973224713121926,0.548506535265401,0.548506535265401,0.715005529932232,0.360810982097693,NA,NA,0.381052631578947,0.969884178445776,0.804141559874395,0.242512783053324,0.477692831481482,NA,0.746593766840309,0.993146879051676,0.0399182663709116,0.986681409684918,0.129922140561477,0.895804529744482,0.844390781492537,0.996357012750455
"214","Sri Lanka",0.874932283794502,0.985153764581124,0.673556417500453,NA,0.0260856262374196,0.105019931737143,NA,NA,0.859171151451008,0.0123033278104926,0.596846846846847,0.936658503306268,0.850329521819149,1,1,1,0.94295592048401,0.992401817030686,NA,0.999260706364711,1,1,0.0186199342825862,0.0158689920121056,0.694216614090431,0.958174904942966,0.743157894736842,0.881954183014902,0.818229652889756,0.378865351838325,0.0706909611111111,0,0.0471349021016706,0.971198370068531,0.0696448111314053,0.899908455082531,NA,0.571969223087075,0.279127601805809,0.969945355191257
